# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m nsamples
-0.800 0.000 79.000000 2048.000000 10000 10000 0 29089192720.000000 65536074.937957 10000
-0.800 0.010 79.000000 2048.000000 10000 10000 0 29138013850.000000 196056482.110313 10000
-0.800 0.020 79.000000 2048.000000 10000 10000 0 29284157540.000000 377510712.593986 10000
-0.800 0.030 78.995600 2048.000000 10000 10000 0 29494364350.000000 752483213.901944 10000
-0.800 0.040 78.913400 2048.000000 10000 10000 0 29175823480.000000 2214871423.402120 10000
-0.800 0.050 78.545500 2048.000000 10000 10000 0 26611818100.000000 3730373345.569840 10000
-0.800 0.060 78.135900 2048.000000 10000 10000 0 23770566960.000000 2630409292.574538 10000
-0.800 0.070 77.943100 2048.000000 10000 10000 0 22837064220.000000 1916380507.112076 10000
-0.800 0.080 77.681300 2048.000000 10000 10000 0 21693794815.000000 2796038111.980042 10000
-0.800 0.090 77.296400 2048.000000 10000 10000 0 19834810732.000000 2916386161.603110 10000
-0.800 0.100 76.940900 2048.000000 10000 10000 0 18303719978.000000 2496151032.991932 10000
-0.800 0.110 76.591700 2048.000000 10000 10000 0 17046749351.000000 2621680013.536020 10000
-0.800 0.120 76.186300 2048.000000 10000 10000 0 15646687060.000000 2702276077.412802 10000
-0.800 0.130 75.783400 2048.000000 10000 10000 0 14398264182.000000 2583538325.079655 10000
-0.800 0.140 75.352300 2048.000000 10000 10000 0 13193926849.000000 2568410354.903506 10000
-0.800 0.150 74.914500 2048.000000 10000 10000 0 12101171054.000000 2524347963.092837 10000
-0.800 0.160 74.446500 2048.000000 10000 10000 0 11037409507.000000 2481741814.375023 10000
-0.800 0.170 73.975100 2048.000000 10000 10000 0 10086149186.000000 2415779659.232998 10000
-0.800 0.180 73.478800 2048.000000 10000 10000 0 9177235563.900000 2357638487.370057 10000
-0.750 0.000 88.989200 2048.000000 10000 10000 0 38313685880.000000 957383955.723799 10000
-0.750 0.010 88.942600 2048.000000 10000 10000 0 37958642130.000000 2147975704.137475 10000
-0.750 0.020 88.530700 2048.000000 10000 10000 0 34325950980.000000 4490881329.019181 10000
-0.750 0.030 88.068500 2048.000000 10000 10000 0 30330488270.000000 2209097818.647021 10000
-0.750 0.040 87.986300 2048.000000 10000 10000 0 30023872560.000000 1221549997.632590 10000
-0.750 0.050 87.793600 2048.000000 10000 10000 0 29108861560.000000 2848004027.694902 10000
-0.750 0.060 87.324000 2048.000000 10000 10000 0 26189325750.000000 3232222198.349473 10000
-0.750 0.070 86.959200 2048.000000 10000 10000 0 24236646560.000000 2373526105.048572 10000
-0.750 0.080 86.597700 2048.000000 10000 10000 0 22670445714.000000 2882086347.071738 10000
-0.750 0.090 86.139300 2048.000000 10000 10000 0 20672507298.000000 2852588817.251433 10000
-0.750 0.100 85.699800 2048.000000 10000 10000 0 19027820190.000000 2767381687.348066 10000
-0.750 0.110 85.221200 2048.000000 10000 10000 0 17413550473.000000 2848052698.900971 10000
-0.750 0.120 84.721200 2048.000000 10000 10000 0 15891255136.000000 2791837179.661555 10000
-0.750 0.130 84.194600 2048.000000 10000 10000 0 14461868434.000000 2768276383.554709 10000
-0.750 0.140 83.649100 2048.000000 10000 10000 0 13149124496.000000 2753199611.712999 10000
-0.750 0.150 83.075500 2048.000000 10000 10000 0 11904784889.100000 2679767017.463558 10000
-0.750 0.160 82.477100 2048.000000 10000 10000 0 10754302947.799999 2635238539.591536 10000
-0.750 0.170 81.869100 2048.000000 10000 10000 0 9717063735.200001 2530195927.457837 10000
-0.750 0.180 81.232000 2048.000000 10000 10000 0 8753824328.600000 2462783352.914860 10000
-0.750 0.190 80.581600 2048.000000 10000 10000 0 7877511462.100000 2346097355.433275 10000
-0.750 0.200 79.912700 2048.000000 10000 10000 0 7086790003.300000 2257194092.833729 10000
-0.700 0.000 100.992900 2048.000000 10000 10000 0 43036947720.000000 782413202.479506 10000
-0.700 0.010 100.923600 2048.000000 10000 10000 0 42497668100.000000 2453826229.632406 10000
-0.700 0.020 100.320100 2048.000000 10000 10000 0 37128168480.000000 4123412053.253165 10000
