# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.000 0.430 2181.381300 26.778700 3463 3538 10000 693963774.301941 3989504491.164823 0.000319 0.001591 10000
0.000 0.434 2315.112900 28.813900 3718 3799 10000 756510158.225826 4358031019.335279 0.000333 0.001786 10000
0.000 0.438 2403.084700 30.457300 3952 4041 10000 833906739.500428 4588030794.958340 0.000384 0.001917 10000
0.000 0.442 2488.513900 32.187100 4166 4256 10000 854577590.040746 4749659449.968989 0.000350 0.001738 10000
0.000 0.446 2607.970800 33.972100 4398 4497 10000 810636738.512517 4052639357.628961 0.000488 0.002212 10000
0.000 0.450 2717.100600 35.835100 4664 4765 10000 973506521.924272 5174339536.995156 0.000481 0.002237 10000
0.000 0.454 2813.439100 37.602100 4917 5020 10000 1011916969.765956 5097672352.797721 0.000525 0.002313 10000
0.000 0.458 2894.123400 39.301300 5161 5263 10000 975219345.941874 4254174571.297295 0.000490 0.002132 10000
0.000 0.462 2972.392700 41.135900 5383 5489 10000 955131606.472640 4295713949.970060 0.000472 0.001923 10000
0.003 0.430 2202.334000 26.528800 3414 3494 10000 685528149.110445 4248582575.230917 0.000356 0.001902 10000
0.003 0.434 2324.343000 28.554100 3657 3745 10000 730771343.944271 4440803853.818242 0.000364 0.001992 10000
0.003 0.438 2430.106400 30.302300 3901 3993 10000 772271510.523989 4178825846.433446 0.000359 0.001855 10000
0.003 0.442 2508.085200 31.881700 4119 4218 10000 790566594.562428 4082409543.770641 0.000374 0.001860 10000
0.003 0.446 2615.874200 33.700300 4347 4453 10000 809065684.319293 4192624028.964165 0.000422 0.001933 10000
0.003 0.450 2739.134200 35.568900 4602 4705 10000 946582640.403611 5105835976.102705 0.000463 0.002128 10000
0.003 0.454 2838.609200 37.406000 4855 4962 10000 954609232.075158 4760693595.737208 0.000473 0.002096 10000
0.003 0.458 2914.683200 39.029900 5099 5204 10000 1025204000.603522 4805680215.666862 0.000455 0.001918 10000
0.003 0.462 3011.697100 40.936000 5352 5460 10000 1044156392.755750 5053621653.315054 0.000420 0.001752 10000
0.006 0.430 2212.855300 26.368800 3373 3457 10000 699308308.731893 4692032787.914289 0.000335 0.001726 10000
0.006 0.434 2340.684500 28.358400 3625 3717 10000 681987447.153512 3809334022.826056 0.000319 0.001647 10000
0.006 0.438 2449.914800 29.987900 3847 3945 10000 749376623.962664 4375683944.937544 0.000381 0.001967 10000
0.006 0.442 2537.924700 31.666300 4073 4179 10000 760911518.783998 4123352323.064541 0.000380 0.001928 10000
0.006 0.446 2630.251700 33.525700 4297 4410 10000 804262922.526214 4417683431.502848 0.000427 0.002070 10000
0.006 0.450 2751.585400 35.249100 4537 4650 10000 800499283.013084 4108255484.640825 0.000458 0.002091 10000
0.006 0.454 2867.390600 37.209600 4809 4920 10000 933114575.452249 4589056846.741013 0.000535 0.002303 10000
0.006 0.458 2948.802200 38.870900 5041 5155 10000 967573781.601700 4550181952.160417 0.000554 0.002295 10000
0.006 0.462 3050.708000 40.692300 5301 5412 10000 960703317.767857 4375130827.512384 0.000513 0.002162 10000
0.009 0.430 2226.086800 26.163100 3326 3420 10000 663063160.911395 4251231608.474457 0.000394 0.002057 10000
0.009 0.434 2372.136000 28.203900 3584 3676 10000 624995062.476753 3470196839.365291 0.000408 0.002235 10000
0.009 0.438 2459.157100 29.876000 3799 3907 10000 669852360.793281 3736990075.500397 0.000376 0.001775 10000
0.009 0.442 2563.059100 31.517700 4035 4144 10000 772857234.632637 4363095456.727788 0.000432 0.002074 10000
0.009 0.446 2652.407000 33.318500 4260 4375 10000 802203858.640801 4126560024.558253 0.000418 0.001964 10000
0.009 0.450 2764.312800 35.048900 4480 4602 10000 761103710.065507 3984463046.385633 0.000523 0.002421 10000
0.009 0.454 2890.235400 37.005100 4744 4858 10000 846274692.281099 4343456106.263523 0.000516 0.002314 10000
0.009 0.458 2979.204200 38.651600 4979 5097 10000 941499836.400977 4858545179.019368 0.000587 0.002452 10000
0.009 0.462 3079.186800 40.520600 5239 5359 10000 1004854770.972542 4902745539.678665 0.000616 0.002640 10000
0.012 0.434 2369.097400 28.025200 3529 3633 10000 655773828.436789 4213194635.190413 0.000387 0.001884 10000
0.012 0.438 2471.488300 29.702200 3752 3864 10000 636078720.973452 3352597758.904898 0.000396 0.001944 10000
0.012 0.442 2583.870200 31.358000 3984 4103 10000 737294795.969658 4333333634.467780 0.000435 0.002045 10000
0.012 0.446 2679.568800 33.190000 4214 4336 10000 768612705.526372 4129828785.479344 0.000476 0.002262 10000
0.012 0.450 2776.440200 34.838200 4434 4554 10000 785173995.932827 4330105006.766482 0.000531 0.002437 10000
0.012 0.454 2905.330700 36.832600 4691 4809 10000 837288027.601074 4292069425.629898 0.000555 0.002485 10000
0.012 0.458 2988.282400 38.381500 4918 5038 10000 893156840.088332 4482849593.551316 0.000569 0.002352 10000
0.012 0.462 3102.311600 40.274000 5165 5289 10000 965020177.537930 5141215411.082115 0.000676 0.003027 10000
0.012 0.466 3181.435100 42.048000 5419 5538 10000 981347565.281189 4551431348.942003 0.000554 0.002324 10000
0.015 0.434 2376.552800 27.791700 3474 3586 10000 605876666.742941 3506561793.249524 0.000433 0.002210 10000
0.015 0.438 2499.040700 29.550000 3715 3831 10000 635439203.149382 3565965154.495533 0.000398 0.001996 10000
0.015 0.442 2598.594100 31.179000 3937 4064 10000 720861787.674852 4115829817.479720 0.000479 0.002230 10000
0.015 0.446 2711.032300 33.050400 4174 4300 10000 755175853.459922 4393821793.060432 0.000470 0.002323 10000
0.015 0.450 2807.134200 34.771200 4410 4535 10000 768232830.824090 3959376664.635716 0.000455 0.001972 10000
0.015 0.454 2927.579900 36.643100 4635 4756 10000 772020434.190256 4253511305.490549 0.000582 0.002456 10000
0.015 0.458 3024.218700 38.248400 4870 4994 10000 861753969.914766 4361520552.448603 0.000623 0.002529 10000
0.015 0.462 3126.146500 40.108900 5119 5239 10000 860486728.367097 4029757622.596971 0.000653 0.002448 10000
0.015 0.466 3216.248000 41.800500 5357 5480 10000 1015878353.362674 5396371336.561339 0.000688 0.002818 10000
0.018 0.434 2392.228700 27.686100 3429 3545 10000 562713059.006312 3547009331.358202 0.000459 0.002167 10000
0.018 0.438 2510.619200 29.419700 3665 3783 10000 639839352.186718 3832334834.722780 0.000446 0.001972 10000
0.018 0.442 2621.940100 31.100500 3893 4024 10000 665908897.146479 3683136896.685871 0.000502 0.002336 10000
0.018 0.446 2730.357800 32.943500 4132 4260 10000 718640721.736572 3865647817.913746 0.000468 0.001968 10000
0.018 0.450 2839.045200 34.630300 4366 4499 10000 724468910.562696 3629585694.554050 0.000546 0.002392 10000
0.018 0.454 2943.186000 36.525600 4590 4716 10000 717233329.524472 3602405911.790828 0.000595 0.002545 10000
0.018 0.458 3038.042600 38.032600 4814 4938 10000 846007920.891997 4607851959.542324 0.000619 0.002505 10000
0.018 0.462 3138.043800 39.846900 5054 5178 10000 845662106.210349 4174910677.756824 0.000625 0.002387 10000
0.018 0.466 3248.546200 41.653500 5308 5439 10000 914645673.586296 4658696188.607475 0.000629 0.002360 10000
0.021 0.434 2400.044100 27.500900 3386 3503 10000 581766414.672620 4116168236.199210 0.000434 0.002067 10000
0.021 0.438 2511.296700 29.128200 3602 3728 10000 586660885.536448 3722378410.201392 0.000485 0.002256 10000
0.021 0.442 2646.413100 30.986800 3858 3991 10000 676791894.401206 4040926766.039694 0.000472 0.002159 10000
0.021 0.446 2748.329800 32.680400 4083 4219 10000 697393898.601316 4063018611.192430 0.000518 0.002291 10000
0.021 0.450 2858.348900 34.435200 4322 4461 10000 713982972.056492 3935075760.725476 0.000511 0.002238 10000
0.021 0.454 2960.800700 36.333800 4558 4693 10000 797394697.116907 4555872410.363426 0.000506 0.002115 10000
0.021 0.458 3066.988200 37.893700 4776 4908 10000 769149960.707531 4079996296.746232 0.000580 0.002328 10000
0.021 0.462 3144.895200 39.546600 4990 5120 10000 822760320.197289 4194176314.999672 0.000622 0.002348 10000
0.021 0.466 3255.514400 41.218400 5235 5367 10000 874963994.209722 4409622866.184498 0.000693 0.002646 10000
0.024 0.434 2403.470900 27.341100 3344 3466 10000 523525101.261385 3478321799.231541 0.000420 0.001964 10000
