# N c mu sigma av_time av_div error_av_div samples_div nsamples prob_div error_prob av_m error_av_m
250 2500 2200 150 8353.819600 62.626400 0.539835 8350 10000 0.835000 0.003712 0.274947 0.000924
250 2500 4000 150 7526.014300 43.911100 0.488083 7521 10000 0.752100 0.004318 0.307174 0.000855
256 2200 2500 150 7135.724000 33.390000 0.392878 7130 10000 0.713000 0.004524 0.348172 0.000716
256 4000 2500 150 9996.011900 214.738100 0.301736 9996 10000 0.999600 0.000200 0.034717 0.000287
330 2500 2200 150 8385.178300 76.058200 0.662383 8381 10000 0.838100 0.003684 0.282439 0.000868
330 2500 4000 150 7655.374800 54.322100 0.601400 7650 10000 0.765000 0.004240 0.311186 0.000806
435 2500 2200 150 8496.401100 91.876700 0.811232 8492 10000 0.849200 0.003579 0.289971 0.000811
435 2500 4000 150 7807.637000 66.138800 0.732297 7802 10000 0.780200 0.004141 0.315971 0.000748
512 2200 2500 150 7154.147900 44.398800 0.559942 7147 10000 0.714700 0.004516 0.367096 0.000523
512 4000 2500 150 10000.000000 437.778300 0.362788 10000 10000 1.000000 0.000000 0.030587 0.000156
574 2500 2200 150 8564.636800 110.420100 0.995579 8560 10000 0.856000 0.003511 0.297529 0.000761
574 2500 4000 150 7879.177000 79.386300 0.888471 7873 10000 0.787300 0.004092 0.321201 0.000691
758 2500 2200 150 8599.904700 132.102900 1.208878 8595 10000 0.859500 0.003475 0.305041 0.000707
758 2500 4000 150 7995.426500 96.555000 1.079978 7989 10000 0.798900 0.004008 0.325778 0.000641
1000 2500 2200 150 8696.180000 153.714000 1.452110 8691 10000 0.869100 0.003373 0.313435 0.000649
1000 2500 4000 150 8131.675500 113.497700 1.293074 8125 10000 0.812500 0.003903 0.331443 0.000586
1024 54 1500 0 22.045300 0.003900 0.000943 18 10000 0.001800 0.000424 0.949981 0.000065
1024 54 3000 0 22.045300 0.003900 0.000943 18 10000 0.001800 0.000424 0.949981 0.000065
1024 109 1500 0 64.654100 0.013800 0.001850 60 10000 0.006000 0.000772 0.905995 0.000084
1024 109 3000 0 64.654100 0.013800 0.001850 60 10000 0.006000 0.000772 0.905995 0.000084
1024 163 1500 0 132.192300 0.032000 0.002956 127 10000 0.012700 0.001120 0.868064 0.000093
1024 163 3000 0 132.192300 0.032000 0.002956 127 10000 0.012700 0.001120 0.868064 0.000093
1024 217 1500 0 214.618000 0.052800 0.003813 209 10000 0.020900 0.001430 0.834397 0.000099
1024 217 3000 0 214.617800 0.052800 0.003813 209 10000 0.020900 0.001430 0.834397 0.000099
1024 272 1500 0 266.078800 0.078100 0.005274 260 10000 0.026000 0.001591 0.803757 0.000103
1024 272 3000 0 266.078200 0.078100 0.005274 260 10000 0.026000 0.001591 0.803757 0.000103
1024 326 1500 0 382.433100 0.112800 0.006374 376 10000 0.037600 0.001902 0.776444 0.000104
1024 326 3000 0 382.432300 0.112800 0.006374 376 10000 0.037600 0.001902 0.776444 0.000104
1024 381 1500 0 485.774700 0.158200 0.008079 479 10000 0.047900 0.002136 0.751068 0.000105
1024 381 3000 0 485.773200 0.158200 0.008079 479 10000 0.047900 0.002136 0.751068 0.000105
1024 435 1500 0 602.123500 0.207400 0.009587 595 10000 0.059500 0.002366 0.728333 0.000106
1024 435 3000 0 600.123100 0.206800 0.009578 593 10000 0.059300 0.002362 0.728333 0.000106
1024 489 1500 0 759.402600 0.276700 0.011200 752 10000 0.075200 0.002637 0.707356 0.000104
1024 489 3000 0 759.398300 0.276700 0.011200 752 10000 0.075200 0.002637 0.707356 0.000104
1024 544 1500 0 928.707300 0.356400 0.013126 921 10000 0.092100 0.002892 0.687590 0.000106
1024 544 3000 0 927.702400 0.356100 0.013124 920 10000 0.092000 0.002890 0.687590 0.000106
1024 598 1500 0 1061.969000 0.448000 0.015886 1054 10000 0.105400 0.003071 0.669754 0.000105
1024 598 3000 0 1061.958600 0.447800 0.015882 1054 10000 0.105400 0.003071 0.669754 0.000105
1024 652 1500 0 1215.220300 0.558200 0.018860 1207 10000 0.120700 0.003258 0.652982 0.000105
1024 652 3000 0 1214.208300 0.557700 0.018856 1206 10000 0.120600 0.003257 0.652982 0.000105
1024 707 1500 0 1332.478200 0.644900 0.020688 1324 10000 0.132400 0.003389 0.637029 0.000104
1024 707 3000 0 1330.466600 0.643900 0.020666 1322 10000 0.132200 0.003387 0.637030 0.000104
1024 761 1500 0 1507.706500 0.789600 0.023894 1499 10000 0.149900 0.003570 0.622208 0.000104
1024 761 3000 0 1504.691300 0.787000 0.023847 1496 10000 0.149600 0.003567 0.622209 0.000104
1024 815 1500 0 1704.886500 0.951400 0.026759 1696 10000 0.169600 0.003753 0.608404 0.000103
1024 815 3000 0 1700.868100 0.947900 0.026715 1692 10000 0.169200 0.003749 0.608406 0.000103
1024 870 1500 0 1884.118700 1.152700 0.031238 1875 10000 0.187500 0.003903 0.595071 0.000103
1024 870 3000 0 1874.098000 1.146200 0.031155 1865 10000 0.186500 0.003895 0.595074 0.000103
1024 924 1500 0 2066.284500 1.312800 0.034435 2057 10000 0.205700 0.004042 0.582667 0.000102
1024 924 3000 0 2051.263100 1.299600 0.034201 2042 10000 0.204200 0.004031 0.582673 0.000102
1024 979 1500 0 2306.384400 1.674100 0.041926 2297 10000 0.229700 0.004206 0.570815 0.000101
1024 979 3000 0 2291.360000 1.657400 0.041723 2282 10000 0.228200 0.004197 0.570823 0.000101
1024 1033 1500 0 2414.667100 1.796300 0.044204 2405 10000 0.240500 0.004274 0.559716 0.000101
1024 1033 3000 0 2401.632600 1.772200 0.043717 2392 10000 0.239200 0.004266 0.559728 0.000101
1024 1087 1500 0 2727.631800 2.245300 0.052308 2718 10000 0.271800 0.004449 0.549057 0.000100
1024 1087 3000 0 2704.603400 2.208700 0.051679 2695 10000 0.269500 0.004437 0.549074 0.000100
1024 1142 1500 0 2905.751000 2.526300 0.057147 2896 10000 0.289600 0.004536 0.538647 0.000101
