# T mu av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m nsamples
0.001 0.328 69.282000 0.000000 0 0 0 0.503035 0.000000 1000
0.001 0.330 74.104000 0.000000 0 0 0 0.501516 0.000000 1000
0.001 0.332 79.782000 0.000000 0 0 0 0.500005 0.000000 1000
0.001 0.334 86.578000 0.000000 0 0 0 0.498503 0.000000 1000
0.001 0.336 94.796000 0.000000 0 1 0 0.497011 0.000001 1000
0.001 0.338 105.017000 0.000000 0 2 0 0.495527 0.000002 1000
0.001 0.340 118.205000 0.000000 0 2 0 0.494053 0.000002 1000
0.001 0.342 135.812000 0.000000 0 3 0 0.492586 0.000003 1000
0.001 0.344 160.751000 0.000000 0 4 1 0.491129 0.000003 1000
0.001 0.346 198.838000 0.000000 0 37 1 0.489678 0.000011 1000
0.001 0.348 265.252000 0.000000 0 401 1 0.488222 0.000029 1000
0.001 0.350 432.602000 0.000000 0 553 16 0.486776 0.000105 1000
0.001 0.352 1430.533000 6.875000 16 771 353 0.484926 0.000625 1000
0.001 0.354 814.249000 2.973000 6 996 990 0.482908 0.000225 1000
0.001 0.356 454.100000 0.000000 0 1000 1000 0.481911 0.000237 1000
0.001 0.358 384.670000 0.000000 0 1000 1000 0.480999 0.000285 1000
0.001 0.360 374.470000 0.000000 0 1000 1000 0.480153 0.000329 1000
0.001 0.362 350.115000 0.000000 0 1000 1000 0.479376 0.000379 1000
0.002 0.326 68.416000 0.000000 0 2 0 0.503570 0.000004 1000
0.002 0.328 73.232000 0.000000 0 6 0 0.502040 0.000010 1000
0.002 0.330 79.074000 0.000000 0 9 0 0.500520 0.000016 1000
0.002 0.332 85.955000 0.000000 0 13 0 0.499009 0.000019 1000
0.002 0.334 95.006000 0.000000 0 39 0 0.497504 0.000031 1000
0.002 0.336 104.744000 0.000000 0 696 0 0.495951 0.000083 1000
0.002 0.338 120.913000 0.000000 0 833 1 0.494445 0.000106 1000
0.002 0.340 137.845000 0.000000 0 962 5 0.492899 0.000169 1000
0.002 0.342 162.382000 0.000000 0 1000 12 0.491354 0.000358 1000
0.002 0.344 228.577000 0.000000 0 1000 151 0.489515 0.001164 1000
0.002 0.346 350.895000 0.000000 0 1000 533 0.486465 0.002218 1000
0.002 0.348 375.036000 0.000000 0 1000 854 0.483415 0.001633 1000
0.002 0.350 321.743000 0.000000 0 1000 994 0.481635 0.000495 1000
0.002 0.352 283.275000 0.000000 0 1000 999 0.480615 0.000395 1000
0.002 0.354 265.987000 0.000000 0 1000 1000 0.479701 0.000406 1000
0.002 0.356 252.762000 0.000000 0 1000 1000 0.478845 0.000423 1000
0.002 0.358 240.934000 0.000000 0 1000 1000 0.478047 0.000457 1000
0.002 0.360 229.752000 0.000000 0 1000 1000 0.477169 0.000495 1000
0.003 0.264 25.910000 0.000000 0 0 0 0.555049 0.000000 1000
0.003 0.266 26.349000 0.000000 0 0 0 0.553187 0.000000 1000
0.003 0.268 26.862000 0.000000 0 0 0 0.551338 0.000000 1000
0.003 0.270 27.364000 0.000000 0 0 0 0.549500 0.000000 1000
0.003 0.272 27.928000 0.000000 0 0 0 0.547675 0.000000 1000
0.003 0.274 28.510000 0.000000 0 0 0 0.545862 0.000000 1000
0.003 0.276 29.096000 0.000000 0 0 0 0.544060 0.000000 1000
0.003 0.278 29.746000 0.000000 0 0 0 0.542271 0.000000 1000
0.003 0.280 30.413000 0.000000 0 0 0 0.540493 0.000000 1000
0.003 0.282 31.113000 0.000000 0 0 0 0.538727 0.000000 1000
0.003 0.284 31.853000 0.000000 0 0 0 0.536972 0.000000 1000
0.003 0.286 32.651000 0.000000 0 0 0 0.535228 0.000000 1000
0.003 0.288 33.474000 0.000000 0 0 0 0.533496 0.000000 1000
0.003 0.290 34.375000 0.000000 0 0 0 0.531775 0.000000 1000
0.003 0.292 35.318000 0.000000 0 0 0 0.530065 0.000000 1000
0.003 0.294 36.325000 0.000000 0 0 0 0.528365 0.000000 1000
0.003 0.296 37.394000 0.000000 0 0 0 0.526677 0.000000 1000
0.003 0.298 38.529000 0.000000 0 0 0 0.524999 0.000000 1000
0.003 0.300 39.785000 0.000000 0 0 0 0.523332 0.000000 1000
0.003 0.302 41.124000 0.000000 0 0 0 0.521675 0.000000 1000
0.003 0.304 42.590000 0.000000 0 1 0 0.520029 0.000005 1000
0.003 0.306 44.186000 0.000000 0 1 0 0.518393 0.000005 1000
0.003 0.308 45.918000 0.000000 0 1 0 0.516767 0.000005 1000
0.003 0.310 47.849000 0.000000 0 3 0 0.515151 0.000009 1000
0.003 0.312 49.968000 0.000000 0 5 0 0.513546 0.000009 1000
0.003 0.314 52.390000 0.000000 0 7 0 0.511949 0.000021 1000
0.003 0.316 55.132000 0.000000 0 8 0 0.510362 0.000022 1000
0.003 0.318 58.382000 0.000000 0 12 0 0.508785 0.000028 1000
0.003 0.320 62.393000 0.000000 0 21 0 0.507217 0.000042 1000
0.003 0.322 68.068000 0.000000 0 61 0 0.505647 0.000086 1000
0.003 0.324 75.869000 0.000000 0 840 0 0.503994 0.000146 1000
0.003 0.326 88.966000 0.000000 0 935 0 0.502399 0.000220 1000
0.003 0.328 97.700000 0.000000 0 997 0 0.500725 0.000342 1000
0.003 0.330 99.547000 0.000000 0 1000 0 0.498928 0.000540 1000
0.003 0.332 126.166000 0.000000 0 1000 0 0.496945 0.001150 1000
0.003 0.334 214.036000 0.000000 0 1000 0 0.493840 0.003120 1000
0.003 0.336 300.101000 0.000000 0 1000 697 0.488993 0.004127 1000
0.003 0.338 313.354000 0.000000 0 1000 934 0.484673 0.002552 1000
0.003 0.340 270.831000 0.000000 0 1000 998 0.482612 0.000900 1000
0.003 0.342 243.966000 0.000000 0 1000 1000 0.481382 0.000523 1000
0.003 0.344 226.096000 0.000000 0 1000 1000 0.480319 0.000479 1000
0.003 0.346 213.070000 0.000000 0 1000 1000 0.479345 0.000482 1000
0.003 0.348 200.496000 0.000000 0 1000 1000 0.478435 0.000513 1000
0.003 0.350 199.481000 0.000000 0 1000 1000 0.477597 0.000539 1000
0.003 0.352 182.698000 0.000000 0 1000 1000 0.476817 0.000574 1000
0.003 0.354 180.904000 0.000000 0 1000 1000 0.476070 0.000603 1000
0.003 0.356 166.042000 0.000000 0 1000 1000 0.475362 0.000636 1000
0.003 0.358 160.125000 0.000000 0 1000 1000 0.474692 0.000665 1000
0.004 0.264 26.179000 0.000000 0 0 0 0.554059 0.000000 1000
0.004 0.266 26.746000 0.000000 0 0 0 0.552197 0.000000 1000
0.004 0.268 27.220000 0.000000 0 0 0 0.550348 0.000000 1000
0.004 0.270 27.807000 0.000000 0 0 0 0.548510 0.000000 1000
0.004 0.272 28.374000 0.000000 0 0 0 0.546685 0.000000 1000
0.004 0.274 28.980000 0.000000 0 0 0 0.544872 0.000000 1000
0.004 0.276 29.640000 0.000000 0 0 0 0.543071 0.000000 1000
0.004 0.278 30.297000 0.000000 0 0 0 0.541281 0.000000 1000
0.004 0.280 31.020000 0.000000 0 0 0 0.539504 0.000000 1000
0.004 0.282 31.757000 0.000000 0 0 0 0.537737 0.000000 1000
0.004 0.284 32.554000 0.000000 0 0 0 0.535983 0.000000 1000
0.004 0.286 33.426000 0.000000 0 0 0 0.534239 0.000000 1000
0.004 0.288 34.350000 0.000000 0 0 0 0.532507 0.000000 1000
0.004 0.290 35.314000 0.000000 0 1 0 0.530786 0.000006 1000
0.004 0.292 36.358000 0.000000 0 1 0 0.529076 0.000006 1000
0.004 0.294 37.499000 0.000000 0 1 0 0.527377 0.000006 1000
0.004 0.296 38.756000 0.000000 0 3 0 0.525687 0.000012 1000
0.004 0.298 40.111000 0.000000 0 5 0 0.524010 0.000012 1000
0.004 0.300 41.625000 0.000000 0 7 0 0.522343 0.000021 1000
0.004 0.302 43.357000 0.000000 0 8 0 0.520685 0.000028 1000
