#N  c  mu  sigma  av_time_conv  std_time_conv  samples_div  samples_mult_eq  prob_div  error_prob  runtime(s)  std_runtime(s)  nsamples
1024 110 800 0 117.432025 53.328006 0 0 0.000000 0.000000 0.016656 0.002367 10050
1024 110 900 0 306.286940 186.278298 0 0 0.000000 0.000000 0.022634 0.006167 10050
1024 110 1100 0 185.943437 9.948059 0 0 0.000000 0.000000 0.021031 0.002318 10050
1024 110 1500 0 51.953041 4.638886 0 0 0.000000 0.000000 0.018528 0.003651 10050
1024 110 3000 0 23.990295 2.661971 1 0 0.000100 0.000099 0.025262 0.002528 10050
1024 220 900 0 508.669176 132.763244 0 0 0.000000 0.000000 0.039750 0.015083 10050
1024 220 1100 0 188.854522 5.624203 0 0 0.000000 0.000000 0.026023 0.003767 10050
1024 220 1500 0 55.147289 5.419576 2 0 0.000199 0.000141 0.023814 0.003067 10050
1024 220 3000 0 25.432709 3.924342 26 0 0.002587 0.000507 0.031819 0.003242 10050
1024 220 800 0 183.929514 50.303251 0 0 0.000000 0.000000 0.021849 0.003874 10050
1024 330 800 0 239.706115 145.670704 0 0 0.000000 0.000000 0.027859 0.007155 10050
1024 330 1100 0 187.472263 6.762102 0 0 0.000000 0.000000 0.029873 0.003351 10050
1024 330 1500 0 57.749529 5.143540 2 0 0.000199 0.000141 0.027558 0.005782 10050
1024 330 3000 0 27.645566 5.921573 42 0 0.004179 0.000644 0.038133 0.004629 10050
1024 330 900 0 604.777575 249.474089 0 0 0.000000 0.000000 0.054105 0.022200 10050
1024 430 800 0 318.611391 243.244651 0 0 0.000000 0.000000 0.037388 0.014548 10050
1024 430 900 0 752.462241 370.272390 0 0 0.000000 0.000000 0.076159 0.033467 10050
1024 430 1500 0 59.294596 4.780371 8 0 0.000796 0.000281 0.032699 0.003986 10050
1024 430 3000 0 30.630876 7.640983 100 0 0.009950 0.000990 0.044928 0.006342 10050
1024 430 1100 0 187.889495 8.557715 0 0 0.000000 0.000000 0.036210 0.004622 10050
1024 540 800 0 451.054065 372.409582 0 0 0.000000 0.000000 0.048940 0.024810 10050
